flt_date,flt_no,a,b,c,aircraft,ab_pax,bc_pax,ac_pax,ab_duration,bc_duration,ac_duration
2023-03-18,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.27,1.8,91,57,66
2023-03-19,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.32,1.85,64,51,92
2023-03-20,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.57,4.37,1.8,79,42,95
2023-03-21,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.55,4.33,1.78,69,48,96
2023-03-22,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.28,4.2,1.92,87,45,99
2023-03-23,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.35,1.87,80,66,94
2023-03-24,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.38,4.21,1.83,89,51,95
2023-03-25,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.48,4.38,1.9,81,71,83
2023-10-29,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,73D,2.42,4.34,1.92,68,27,133
2023-10-30,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.47,4.4,1.93,60,33,136
2023-10-31,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.53,4.38,1.85,92,37,109
2023-11-01,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.37,4.24,1.87,48,62,99
2023-11-02,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.62,4.55,1.93,75,47,81
2023-11-03,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.2,1.85,72,35,126
2023-11-04,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.27,4.15,1.88,90,40,95
2023-11-05,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.17,4.12,1.95,55,42,92
2023-11-06,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.2,1.85,55,43,94
2023-11-07,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.5,4.33,1.83,40,25,131
2023-11-08,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.3,4.12,1.82,86,19,147
2023-11-09,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.37,1.97,36,36,103
2023-11-10,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.45,4.35,1.9,69,42,103
2023-11-11,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.33,4.13,1.8,77,57,81
2023-11-12,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.24,1.82,25,50,79
2023-11-13,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.28,4.11,1.83,55,53,100
2023-11-14,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,73D,2.65,4.6,1.95,61,49,61
2023-11-15,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.4,4.33,1.93,64,26,80
2023-11-16,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.52,4.69,2.17,53,18,103
2023-11-17,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.65,4.8,2.15,76,51,80
2023-11-18,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.35,4.37,2.02,47,37,53
2023-11-19,86i3lia5Jj4=,zwVGiYamVc0=,FWD6O2fHsIU=,wSF4qXvI044=,738,2.42,4.32,1.9,103,26,98
